Batting Innings,Batting Position,Runs Scored,Balls Faced,Batting Strikerate,Out/NotOut,4s,6s,50s,100s,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Strikerate in first 20 balls,Strikerate in 20 to 30 balls,Strikerate after 30 balls,Bowling Innings,Runs Given,Balls Bowled,Wickets Taken,Economy Rate,Bowling Strikerate,3 wicket hauls,5 wicket hauls,Wickets in Powerplay,Wickets in Middle Overs,Wickets in Death Overs,Economy in Powerplay,Economy in Middle Overs,Economy in Death Overs,Catches or Runouts as Fielder,Match Result,Man of the match
1.0,0.0,10.0,12.0,83.33,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,83.33,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,3.0,75.0,50.0,150.0,0.0,11.0,2.0,1.0,0.0,22.0,53.0,0.0,120.0,90.0,210.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,2.0,42.0,36.0,116.67,1.0,4.0,2.0,0.0,0.0,23.0,19.0,0.0,135.0,120.0,50.0,1.0,13.0,6.0,0.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,-1.0,1.0,0.0,0.0
2.0,1.0,32.0,32.0,100.0,0.0,3.0,1.0,0.0,0.0,0.0,30.0,2.0,95.0,120.0,50.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,2.0,18.0,22.0,81.82,1.0,0.0,1.0,0.0,0.0,4.0,14.0,0.0,85.0,50.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,1.0,3.0,6.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,20.0,18.0,111.11,1.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,111.11,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,0.0
1.0,0.0,16.0,9.0,177.78,1.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,177.78,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,1.0,16.0,16.0,100.0,1.0,1.0,0.0,0.0,0.0,12.0,4.0,0.0,100.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,1.0,6.0,8.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,75.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,1.0,24.0,26.0,92.31,1.0,4.0,0.0,0.0,0.0,20.0,4.0,0.0,110.0,33.33,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,1.0,41.0,35.0,117.14,1.0,5.0,1.0,0.0,0.0,8.0,33.0,0.0,120.0,160.0,20.0,2.0,28.0,24.0,2.0,7.0,12.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,7.0,1.0,1.0,1.0
1.0,1.0,1.0,4.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,-1.0,-1.0,2.0,12.0,6.0,0.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,12.0,0.0,0.0,0.0
2.0,1.0,23.0,20.0,115.0,1.0,3.0,1.0,0.0,0.0,12.0,11.0,0.0,115.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,2.0,45.0,40.0,112.5,1.0,5.0,1.0,0.0,0.0,19.0,26.0,0.0,100.0,150.0,100.0,1.0,40.0,18.0,0.0,13.33,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,25.0,7.5,0.0,0.0,0.0
