,Batters,Runs Scored,Balls Played,Strike Rate,Boundaries,Sixes,Matches Played,Dismissals,50s,100s,Wins Contributed,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs
222,S Ladda,0,10,0.0,0,0,2,1,0,0,0,0,0,0
500,S Lamichhane,0,1,0.0,0,0,1,1,0,0,0,0,0,0
293,S Nadeem,39,87,44.83,2,0,19,13,0,0,0,0,16,23
226,S Narwal,37,29,127.59,6,0,4,3,0,0,0,0,18,19
301,S Rana,91,82,110.98,9,1,8,4,0,0,2,20,10,61
278,S Randiv,2,4,50.0,0,0,1,1,0,0,0,0,0,2
65,S Sohal,368,311,118.33,35,18,20,20,2,0,10,279,85,4
77,S Sreesanth,34,57,59.65,6,0,12,4,0,0,2,0,0,34
249,S Sriram,31,38,81.58,3,0,2,2,0,0,1,13,18,0
218,S Tyagi,3,4,75.0,0,0,2,1,0,0,0,0,0,3
108,S Vidyut,145,115,126.09,21,3,8,8,1,0,3,103,42,0
397,SA Abbott,15,13,115.38,1,1,2,2,0,0,1,0,1,14
101,SA Asnodkar,423,352,120.17,56,10,20,20,2,0,10,278,145,0
308,SA Yadav,2024,1536,131.77,221,58,86,67,11,0,45,605,1119,300
59,SB Bangar,49,58,84.48,1,3,8,7,0,0,0,0,20,29
186,SB Jakati,28,30,93.33,3,0,5,1,0,0,1,0,0,28
15,SB Joshi,6,16,37.5,0,0,2,2,0,0,0,0,6,0
57,SB Styris,131,134,97.76,10,3,10,7,0,0,3,8,102,21
273,SB Wagh,2,3,66.67,0,0,2,2,0,0,0,0,0,2
0,SC Ganguly,1349,1326,101.73,138,42,56,53,7,0,20,529,706,114
148,SD Chitnis,99,92,107.61,10,2,8,7,0,0,4,1,60,38
502,SD Lad,15,13,115.38,1,1,1,1,0,0,1,15,0,0
220,SE Bond,1,2,50.0,0,0,1,1,0,0,0,0,1,0
100,SE Marsh,2477,1908,129.82,267,78,69,62,20,1,33,767,1540,170
511,SE Rutherford,73,55,132.73,2,7,7,5,0,0,5,0,26,47
234,SJ Srivastava,5,5,100.0,0,0,4,1,0,0,1,0,0,5
20,SK Raina,5368,4041,132.84,494,194,189,161,38,1,110,1534,3201,633
38,SK Trivedi,42,61,68.85,3,1,14,7,0,0,2,0,2,40
37,SK Warne,198,219,90.41,14,6,29,20,0,0,10,0,82,116
194,SL Malinga,88,103,85.44,6,5,22,16,0,0,6,0,8,80
497,SM Curran,281,200,140.5,25,15,19,12,2,0,6,68,81,132
184,SM Harwood,9,14,64.29,0,0,2,0,0,0,1,0,0,9
27,SM Katich,241,191,126.18,26,8,11,10,2,0,5,145,79,17
48,SM Pollock,147,116,126.72,12,8,8,8,0,0,1,1,74,72
352,SMSM Senanayake,10,17,58.82,0,0,4,1,0,0,1,0,1,9
402,SN Khan,441,321,137.38,50,11,25,17,1,0,9,36,192,213
406,SN Thakur,48,42,114.29,5,1,10,6,0,0,3,0,11,37
489,SO Hetmyer,275,203,135.47,15,19,16,13,1,0,6,53,142,80
107,SP Fleming,196,171,114.62,27,3,10,9,0,0,4,120,76,0
132,SP Goswami,293,307,95.44,32,3,21,20,1,0,7,163,119,11
458,SP Jackson,38,31,122.58,5,0,3,2,0,0,1,10,22,6
315,SP Narine,892,573,155.67,104,52,64,53,4,0,28,650,194,48
306,SPD Smith,2333,1858,125.57,212,58,86,66,11,1,36,456,1343,534
133,SR Tendulkar,2334,2044,114.19,296,29,78,69,13,1,48,1143,1059,132
31,SR Watson,3874,2888,134.14,377,190,141,125,21,4,73,1415,2164,295
534,SS Cottrell,0,2,0.0,0,0,1,1,0,0,0,0,0,0
393,SS Iyer,2200,1802,122.09,190,83,78,70,16,0,38,670,1307,223
200,SS Shaikh,6,7,85.71,1,0,1,1,0,0,1,0,6,0
79,SS Tiwary,1379,1192,115.69,101,48,69,50,7,0,32,155,864,360
43,ST Jayasuriya,768,573,134.03,85,39,30,28,4,1,15,514,254,0
255,STR Binny,880,700,125.71,66,35,66,46,0,0,26,18,526,336
351,SV Samson,2584,1970,131.17,191,115,103,93,13,2,48,777,1497,310
421,SW Billings,334,256,130.47,31,10,19,19,3,0,7,113,163,58
238,SW Tait,23,26,88.46,1,1,5,3,0,0,1,0,13,10
369,Sachin Baby,137,106,129.25,11,5,10,8,0,0,3,0,52,85
103,Salman Butt,193,172,112.21,30,2,7,7,1,0,3,104,85,4
367,Sandeep Sharma,44,59,74.58,3,0,21,5,0,0,5,0,12,32
529,Shahbaz Ahmed,1,1,100.0,0,0,1,0,0,0,0,0,0,1
70,Shahid Afridi,81,46,176.09,8,6,9,8,0,0,1,43,16,22
276,Shakib Al Hasan,746,613,121.7,70,20,46,35,2,0,23,35,451,260
472,Shivam Mavi,23,29,79.31,2,0,6,5,0,0,1,0,0,23
381,Shivam Sharma,5,3,166.67,1,0,2,1,0,0,1,0,0,5
179,Shoaib Ahmed,1,6,16.67,0,0,3,2,0,0,0,0,1,0
144,Shoaib Akhtar,2,8,25.0,0,0,1,1,0,0,0,0,2,0
86,Shoaib Malik,52,49,106.12,5,0,5,4,0,0,1,17,33,2
471,Shubman Gill,939,766,122.58,87,24,37,28,7,0,17,382,438,119
102,Sohail Tanvir,36,31,116.13,3,1,5,3,0,0,4,13,11,12
337,Sunny Gupta,0,1,0.0,0,0,1,1,0,0,0,0,0,0
264,Sunny Singh,43,31,138.71,6,1,5,4,0,0,2,15,21,7
424,Swapnil Singh,12,20,60.0,0,0,3,3,0,0,1,0,10,2
516,T Banton,18,22,81.82,1,1,2,2,0,0,0,18,0,0
159,T Henderson,11,16,68.75,0,1,2,2,0,0,0,2,9,0
29,T Kohli,11,20,55.0,0,1,3,3,0,0,1,7,0,4
532,T Natarajan,3,5,60.0,0,0,2,0,0,0,0,0,0,3
129,T Taibu,31,26,119.23,3,0,3,3,0,0,3,0,22,9
156,T Thushara,12,19,63.16,0,0,4,2,0,0,1,0,0,12
460,TA Boult,12,15,80.0,0,1,5,3,0,0,0,0,1,11
272,TD Paine,10,29,34.48,0,0,2,2,0,0,0,10,0,0
377,TG Southee,115,91,126.37,9,4,13,8,0,0,3,0,15,100
466,TK Curran,106,91,116.48,8,3,8,4,1,0,3,0,58,48
178,TL Suman,676,587,115.16,55,26,39,32,2,0,18,185,395,96
135,TM Dilshan,1153,1047,110.12,140,24,50,43,9,0,31,488,503,162
417,TM Head,205,151,135.76,12,8,10,7,1,0,4,10,101,94
92,TM Srivastava,8,11,72.73,0,0,3,1,0,0,1,0,4,4
285,TR Birt,75,59,127.12,9,2,5,5,0,0,2,0,24,51
435,TS Mills,8,11,72.73,0,1,3,3,0,0,1,0,2,6
520,TU Deshpande,21,12,175.0,2,1,2,1,0,0,0,0,0,21
134,U Kaul,0,1,0.0,0,0,1,0,0,0,0,0,0,0
365,UA Birla,7,15,46.67,1,0,1,1,0,0,0,6,1,0
262,UBT Chand,300,314,95.54,32,9,20,20,1,0,6,120,173,7
426,UT Khawaja,127,105,120.95,14,3,6,6,0,0,3,107,20,0
232,UT Yadav,122,135,90.37,11,4,34,14,0,0,5,0,12,110
105,Umar Gul,39,19,205.26,1,5,4,3,0,0,2,0,18,21
7,V Kohli,5878,4609,127.53,504,202,184,154,39,5,84,1724,3186,968
326,V Pratap Singh,0,1,0.0,0,0,1,1,0,0,0,0,0,0
40,V Sehwag,2728,1833,148.83,334,106,104,99,16,2,52,1593,1102,33
444,V Shankar,654,528,123.86,44,25,32,22,3,0,11,26,390,238
384,VH Zol,29,26,111.54,3,1,2,2,0,0,0,22,7,0
296,VR Aaron,50,73,68.49,2,2,12,5,0,0,1,0,1,49
78,VRV Singh,4,3,133.33,1,0,2,2,0,0,1,0,0,4
243,VS Malik,7,7,100.0,1,0,2,1,0,0,0,0,0,7
150,VS Yeligati,2,2,100.0,0,0,1,1,0,0,0,0,0,2
54,VVS Laxman,282,271,104.06,33,5,20,19,1,0,7,187,93,2
91,VY Mahesh,15,28,53.57,0,0,5,2,0,0,0,0,3,12
439,Vishnu Vinod,19,26,73.08,1,1,3,3,0,0,2,10,2,7
6,W Jaffer,130,129,100.78,14,3,8,8,1,0,3,77,53,0
68,WA Mota,56,76,73.68,2,0,8,6,0,0,4,0,43,13
267,WD Parnell,63,80,78.75,4,1,12,9,0,0,2,11,13,39
62,WP Saha,1979,1541,128.42,184,64,97,77,8,1,41,676,882,421
60,WPUJC Vaas,81,73,110.96,2,3,11,8,0,0,4,0,26,55
455,Washington Sundar,186,154,120.78,15,6,21,12,0,0,7,0,102,84
361,X Thalaivan Sargunam,10,17,58.82,0,0,1,1,0,0,0,0,10,0
300,Y Gnaneswara Rao,19,18,105.56,3,0,1,1,0,0,0,15,4,0
199,Y Nagar,285,271,105.17,20,9,20,14,0,0,7,2,134,149
512,Y Prithvi Raj,0,1,0.0,0,0,1,0,0,0,0,0,0,0
53,Y Venugopal Rao,985,865,113.87,78,37,52,44,3,0,14,76,598,311
215,YA Abdulla,0,1,0.0,0,0,1,0,0,0,0,0,0,0
518,YBK Jaiswal,40,44,90.91,2,2,3,3,0,0,1,18,22,0
30,YK Pathan,3204,2330,137.51,262,159,153,110,13,1,81,343,2003,858
382,YS Chahal,22,54,40.74,0,0,14,6,0,0,0,0,4,18
114,YV Takawale,192,183,104.92,27,3,10,8,0,0,3,121,42,29
170,Yashpal Singh,47,67,70.15,5,0,4,4,0,0,1,17,19,11
141,Younis Khan,3,7,42.86,0,0,1,1,0,0,0,3,0,0
26,Yuvraj Singh,2750,2205,124.72,217,149,126,111,13,0,54,189,1960,601
14,Z Khan,117,141,82.98,11,2,27,14,0,0,2,0,16,101
